epoch,acc,loss,val_acc,val_loss
0,0.3706061444947702,1.3284350905826208,0.44380403483978953,1.2678656031831197
1,0.6518128976708398,0.9714479623426865,0.6570605178731319,0.8845820636501917
2,0.7987821755104371,0.5689027396688295,0.7204610954444072,0.7612270999710566
3,0.8541378356596785,0.4077227438812668,0.7146974066836003,0.7807857021474701
4,0.8779407696251456,0.33041228502865083,0.700288186499296,0.8008092080138258
5,0.9072792693052865,0.27203137720601234,0.7060518723399907,0.8672010001943846
6,0.9252698588760613,0.22536072405114452,0.7089337196405064,0.9194724683459279
7,0.9368945476489485,0.19151668808168565,0.700288186499296,0.9684656061425333
8,0.947965679490728,0.16567807828962655,0.7089337167203942,1.0003297205273631
9,0.9593135898145585,0.1462637197825343,0.7060518752601029,1.045863909748858
10,0.9587600330649206,0.1279221304336348,0.6974063391987804,1.0885584076131112
11,0.9629117075736391,0.11676523623714281,0.7031700291619865,1.1381297966932358
12,0.9665098256296706,0.10854980609836734,0.7060518752601029,1.137986704664203
13,0.96983116508817,0.09810366901604382,0.700288186499296,1.2017689713140043
14,0.9712150567395517,0.08966537119772769,0.71181556402091,1.2387515814915857
15,0.9725989480939824,0.08601182010854805,0.7146974049658872,1.2610548903000802
16,0.9739828395968885,0.08349879417818998,0.6916426504379735,1.3418295878154745
17,0.9737060612963073,0.07491305052673193,0.700288184781583,1.3593128558881689
18,0.9748131748285777,0.07544720975886808,0.6974063421188926,1.4233649872909018
19,0.9742596180459452,0.06907707110558756,0.6945244977384891,1.4419604014251006
20,0.9770274012332275,0.06800741358143848,0.694524494303063,1.4953951007694608
21,0.9759202878494326,0.06682087501282594,0.6887608089776822,1.5118696315144255
22,0.9778577359535012,0.06800253408758133,0.688760805542256,1.5085436779071686
23,0.9781345144355524,0.059941697452261675,0.694524496020776,1.5144886726604758
24,0.9770274010517576,0.06137009735592689,0.6916426533580857,1.5677481089270424
